Directory Region,Postcode From,Postcode To
Central Qld and Wide Bay,4472,(blank)
Central Qld and Wide Bay,4481,4482
Central Qld and Wide Bay,4600,4677
Central Qld and Wide Bay,4678,4736
Gold Coast,2484,2486
Gold Coast,4207,4274
Gold Coast,9726,(blank)
Greater Brisbane,0,(blank)
Greater Brisbane,800,(blank)
Greater Brisbane,870,(blank)
Greater Brisbane,1230,(blank)
Greater Brisbane,1311,(blank)
Greater Brisbane,1350,(blank)
Greater Brisbane,1355,(blank)
Greater Brisbane,2000,(blank)
Greater Brisbane,2001,2483
Greater Brisbane,2487,2999
Greater Brisbane,3000,3999
Greater Brisbane,4000,4113
Greater Brisbane,4115,4116
Greater Brisbane,4120,4122
Greater Brisbane,4151,4184
Greater Brisbane,4500,4504
Greater Brisbane,4509,(blank)
Greater Brisbane,4520,4521
Greater Brisbane,5000,5999
Greater Brisbane,6000,6999
Greater Brisbane,7000,7000
Greater Brisbane,8003,(blank)
Moreton,4114,(blank)
Moreton,4117,4119
Moreton,4123,4133
Moreton,4205,(blank)
Moreton,4275,4287
Moreton,4300,4347
North Qld and Whitsundays,4737,4805
North Qld and Whitsundays,4806,4819
North Qld and Whitsundays,4820,4830
North Qld and Whitsundays,4850,4851
North Qld and Whitsundays,4890,4891
South West Qld and Darling Downs,4348,4361
South West Qld and Darling Downs,4362,4390
South West Qld and Darling Downs,4400,(blank)
South West Qld and Darling Downs,4401,4427
South West Qld and Darling Downs,4428,4471
South West Qld and Darling Downs,4474,4480
South West Qld and Darling Downs,4486,4498
Sunshine Coast,4505,4508
Sunshine Coast,4510,4519
Sunshine Coast,4550,4581
